"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
503787;237;2;1;2;87.8098298252271;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;6;5;"1";2;;2;;;;;6
503877;237;1;1;1;196.198745281276;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;7;1;"1";2;;2;;;;;2
503908;237;1;1;1;82.177635230942;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;10;6;"1";2;;1;1;1;1;;
503951;237;1;1;1;37.7489620798786;1;;;;;;;;1;;;;8;1;;;;;;;;1;;;;;;;;;9;2;1;2;1;;;;;;;7;4;"2";2;;2;;;;;3
503953;237;2;1;2;41.226423326696;1;;;;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;2;2;1;2;1;;;;;;;8;1;"2";2;;1;3;3;1;;
504030;237;1;1;1;52.3671231075702;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;;3;;2;2;1;1;;;;;;;9;1;"1";2;;1;1;1;2;1;
504049;237;1;1;1;61.470246227771;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;1;2;2;1;;;;;;;6;2;"1";2;;2;;;;;3
504052;237;3;1;3;63.4469170139796;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;1;2;2;1;1;;;;;;8;4;"2";2;;1;1;2;2;5;
504056;237;6;1;6;52.1130170083484;;;;1;;;;;;;1;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;;;;;;9;;2;"2";2;;2;;;;;1
504062;237;4;1;4;61.1726436024053;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;1;1;1;1;;
504078;237;1;1;1;58.1736925771925;1;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;1;2;1;1;;;;;;;5;4;"1";2;;1;1;1;1;;
504091;237;1;1;1;57.8833476716733;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;1;"1";2;;2;;;;;6
504120;237;1;1;1;69.2345757739913;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;9;2;2;2;1;;;;;;;2;4;"1";2;;2;;;;;1
504143;237;1;1;1;59.143345518493;;;;;;2;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;1;1;"1";1;7;2;;;;;6
504147;237;3;1;3;72.7980523750142;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;5;1;"1";2;;2;;;;;6
504165;237;4;1;4;64.427533905883;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;;3;;2;2;2;;1;;;;;;6;4;"1";2;;2;;;;;6
504173;237;1;1;1;69.8437251474107;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;6;4;"1";2;;2;;;;;6
504178;237;1;1;1;59.9590294371802;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;2;2;2;;1;;;;;;4;4;"1";2;;1;1;1;1;;
504197;237;1;1;1;146.028921962844;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;6
504239;237;1;1;1;67.3974393409893;;;;1;;;1;;;;;;6;1;;;;;;;;1;;;;;;;;;8;2;1;2;1;;;;;;;5;2;"1";2;;2;;;;;6
504271;237;1;1;1;62.7521549513972;;;;;;2;1;;;;;;8;;;;;;;;2;1;;;;;;;;;9;2;2;2;;1;;;;;;4;4;"1";2;;2;;;;;1
504279;237;1;1;1;52.3212666992465;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;5;1;"1";2;;2;;;;;6
