"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
503784;237;1;1;1;122.927477575109;11;1;6;2;2;2;1;2;3;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;2
503790;237;1;1;1;105.282573904331;5;1;1;1;2;2;1;2;4;3;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503935;237;1;1;1;42.9891285334956;7;1;6;1;2;2;2;1;6;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;;2
503982;237;1;1;1;508.902673178706;12;1;6;2;1;1;2;2;4;1;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;;;1
503995;237;1;1;1;822.77721469378;5;1;3;2;1;2;2;2;5;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
504008;237;1;1;1;67.1210972789062;12;1;2;1;2;1;2;2;4;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;;;2
504089;237;1;1;1;56.4335999997623;2;1;9;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
504273;237;1;1;1;65.8701083518304;12;1;3;2;2;1;2;2;3;1;2;;;;;;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
504340;237;1;1;1;547.287839074022;3;1;6;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
504535;237;1;1;1;667.847971032406;11;1;3;1;2;1;2;2;3;9;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;;2;2;2;;;;;;6;2
504550;237;1;1;1;511.845879565481;10;1;6;1;1;2;1;2;6;4;2;;;;;;2;2;2;2;1;2;;;;;;;;;;;;1;1;2;2;1;1;1;2;1;;;1
504561;237;1;1;1;33.5872553984367;4;1;3;1;2;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
504573;237;1;1;1;34.4330190330222;7;1;3;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
504724;237;1;1;1;128.525872791415;1;1;2;2;2;1;2;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;2;2
