"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
504338;237;3;1;3;356.212235580593;1;1;1;;1;;;1;;;2e+05;4;1;1;2;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
504356;237;1;1;1;325.33954403249;5;2;1;;1;;;;;;50000;5;2;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
504366;237;1;1;1;344.905622132682;7;2;2;;;;;;;;3e+06;2;1;4;1;1;1;2;2;2;2;;2;;2;2;;;1;2;;;;;;;9;1
504463;237;3;1;3;313.915348475963;3;3;2;;;;;;;;6e+05;4;1;4;4;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
504467;237;2;1;2;290.293451665436;6;1;1;;;1;;;;;3e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
504480;237;1;1;1;284.056281405127;8;1;1;;1;;;;;;356000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
504514;237;5;1;5;338.437645957932;4;2;1;;;;;1;;;99;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
504580;237;4;1;4;36.780142189379;10;3;2;;;;;;;;120000;4;1;3;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
504604;237;3;1;3;38.0930840696088;9;2;1;;1;;;;;;25000;4;1;4;7;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
504611;237;4;1;4;49.7498741720379;3;3;2;;;;;;;;350000;2;1;4;1;1;2;1;2;2;2;;2;;1;2;;;2;2;;;;;;;3;1
504699;237;2;1;2;631.660876855905;9;3;2;;;;;;;;6e+05;4;1;1;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
504998;237;3;1;3;1178.81581440376;11;3;2;;;;;;;;99;3;1;4;1;;;;;;;;1;;1;2;;;1;1;1;1;1;5;2;4;;2
505009;237;1;1;1;1158.2630640027;3;1;1;;1;;;;;;1200000;2;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
505014;237;1;1;1;979.451147926706;2;1;1;1;1;;;;;;3e+06;5;1;4;1;2;;;;;;2;2;2;1;2;1;;1;2;;;;;;;3;2
505025;237;1;1;1;990.168573558135;7;1;1;1;;;;;;;1e+05;5;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
505034;237;1;1;1;887.042117212494;1;1;1;;;;;;1;;3e+05;5;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
505069;237;1;1;1;990.168573558135;3;3;2;;;;;;;;1e+06;2;1;2;1;2;;;;;;;2;;1;2;;;2;1;1;4;;4;;;;2
505073;237;1;1;1;1179.95654255476;11;3;2;;;;;;;;1150000;1;1;2;1;2;;;;;;;1;;2;2;;;2;1;1;1;1;4;1;;;2
505075;237;2;1;2;1043.869840676;11;2;2;;;;;;;;6e+05;3;1;4;3;;;;;;;;1;;2;2;;;2;1;1;1;1;1;2;1;;2
505116;237;3;1;3;721.375851025629;1;3;2;;;;;;;;1e+06;4;1;2;2;2;;;;;;;2;;2;2;;;2;1;1;1;1;1;1;;;2
505141;237;3;1;3;242.581920903955;12;1;1;;1;1;1;;1;;1e+06;5;1;3;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
505150;237;1;1;1;752.72597367054;12;1;1;;1;;;;;;3e+06;3;1;3;1;;;;;;;2;2;1;1;2;2;;2;2;;;;;;;3;2
505162;237;1;1;1;451.653983016518;6;2;1;;1;;;;;;150000;4;1;3;3;2;;;;;;2;2;2;2;2;2;2;2;2;;;;;;;3;2
505169;237;1;1;1;520.560176925405;2;1;1;1;1;;;;;;2e+06;4;1;3;3;2;;;;;;2;2;2;2;2;1;2;1;1;1;2;1;2;1;;;2
505220;237;1;1;1;80.8145822392597;4;3;2;;;;;;;;2e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
505294;237;1;1;1;83.5410048188114;7;2;1;;1;;;;;1;60000;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
505318;237;3;1;3;89.2184693981263;5;1;1;;1;;;;;;5e+05;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
505332;237;2;1;2;81.0965240441265;3;1;1;;1;;;;;;120000;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
505335;237;2;1;2;83.5410048188114;5;1;1;;1;;1;;;;2e+05;4;1;4;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
505375;237;1;1;1;257.182453860357;6;2;1;;1;;;;;;20000;4;1;4;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
505404;237;1;1;1;285.236058606968;8;1;1;;;;;1;;;1e+05;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
505405;237;3;1;3;229.079119917826;6;3;2;;;;;;;;760000;4;1;1;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
505409;237;2;1;2;250.981397369468;6;3;2;;;;;;;;1e+05;2;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
505418;237;1;1;1;349.812656880533;8;1;1;1;1;;;1;;;8e+05;5;1;2;3;2;;;;;;2;2;1;2;1;1;;1;2;;;;;;;3;2
505418;237;2;1;2;349.812656880533;11;1;1;;1;;;1;;;5e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;1;1;1;5;1;1;;;;2
505457;237;4;1;4;524.025213729444;6;3;2;;;;;;;;1e+05;4;1;2;1;2;;;;;;;2;;2;2;;;2;1;1;1;1;5;1;;;2
505518;237;3;1;3;51.2648188795835;5;1;1;;;;;1;;;70000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;1;2;;;;;;;6;2
505635;237;1;1;1;71.5667358189992;8;1;1;1;;1;;;;;250000;4;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;1;2
505677;237;2;1;2;87.6846988940484;8;2;1;;1;;;;;;80000;4;1;1;2;9;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
505780;237;3;1;3;247.488644472997;10;1;1;1;;;;;;;1200000;4;1;3;1;2;;;;;;2;2;1;1;2;1;;2;2;;;;;;;5;2
505783;237;2;1;2;261.793743975534;10;1;1;;1;1;;;;;150000;4;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
505794;237;1;1;1;254.805814526632;8;1;1;;1;;;;;;120000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
505794;237;2;1;2;254.805814526632;8;3;2;;;;;;;;350000;3;1;3;1;;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
505841;237;2;1;2;619.074623314485;3;3;2;;;;;;;;3e+05;4;1;1;7;2;;;;;;;1;;2;2;;;2;2;;;;;;;4;2
506161;237;1;1;1;170.733798419964;6;1;1;;;;;;;1;5e+05;5;1;2;1;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;5;1;;;2
506511;237;1;1;1;715.373642200833;10;2;1;;;1;;;;;80000;4;1;9;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
506536;237;1;1;1;293.274586295054;4;3;2;;;;;;;;98;2;1;3;1;2;;;;;;;2;;2;2;;2;2;1;2;1;1;1;1;;;2
506539;237;1;1;1;330.817415960568;6;2;2;;;;;;;;3e+06;1;1;3;5;2;;;;;;;1;;2;2;;2;1;1;1;6;3;4;2;4;;2
506546;237;1;1;1;578.267097530116;10;3;2;;;;;;;;50000;4;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;1;2
506649;237;1;1;1;1027.54553794143;6;3;2;;;;;;;;120000;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;4;2
506655;237;3;1;3;935.004510695558;11;3;2;;;;;;;;6e+05;3;1;1;2;;;;;;;;2;;2;2;;;2;1;1;4;;2;;;;2
506655;237;5;1;5;935.004510695558;11;3;2;;;;;;;;3e+05;3;1;1;2;;;;;;;;2;;2;2;;;2;1;1;1;1;2;2;2;;2
506659;237;1;1;1;1016.82811231;7;1;1;;1;;;;;;250000;2;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;6;2
506661;237;1;1;1;979.451147926706;1;2;2;;;;;;;;8e+05;2;1;2;1;1;2;1;2;2;2;;1;;2;2;;;2;1;1;4;;1;;;;2
506676;237;1;1;1;917.258781672308;8;3;2;;;;;;;;2e+06;2;2;4;1;1;2;1;2;1;2;;2;;1;2;;;2;2;;;;;;;4;2
506684;237;1;1;1;990.168573558135;10;1;1;;;;;;;1;3200000;4;1;3;2;2;;;;;;2;2;2;2;2;1;;2;1;1;1;1;5;2;2;;1
506735;237;1;1;1;72.7811237319609;4;2;1;;1;;;;;;8e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;1
506757;237;7;1;7;81.176009009272;9;1;1;;1;;;;;;590000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
506814;237;1;1;1;73.5749682782042;1;1;1;;1;;;;;;9e+05;5;1;3;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;6;2
