"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
509457;237;3;1;3;43.0313951159272;"8";1;7;3;1;2;;;6;1;2;2;2;;;;;;6
509531;237;2;1;2;64.1544330198387;"1";1;5;4;6;2;;;6;1;4;2;2;;;;;;6
509534;237;3;1;3;64.9268478563144;"10";2;7;3;4;1;1;2;1;1;2;2;2;;;;;;2
509572;237;1;1;1;66.799822264439;"6";1;2;2;7;2;;;6;1;3;2;2;;;;;;4
509599;237;10;3;3;74.3801612996684;"12";1;7;4;1;2;;;2;1;2;2;2;;;;;;6
509620;237;2;1;2;68.0648770569775;"11";2;7;1;1;2;;;6;2;;2;2;;;;;;6
509624;237;4;1;4;80.8557256911359;"12";1;7;4;2;2;;;6;1;4;2;2;;;;;;3
509852;237;2;1;2;416.948556810446;"4";1;6;3;1;2;;;6;2;;2;2;;;;;;6
509977;237;4;1;4;330.107746227903;"6";1;7;3;2;2;;;6;1;3;2;2;;;;;;6
510248;237;3;1;3;127.585738589159;"11";1;7;3;5;2;;;6;1;4;2;2;;;;;;2
510345;237;2;1;2;133.819230575693;"12";1;2;2;6;1;1;2;6;1;4;2;2;;;;;;3
510629;237;1;1;1;777.798793972469;"12";1;2;4;1;2;;;6;1;3;2;2;;;;;;3
510731;237;1;1;1;945.233320338021;"11";2;9;1;2;1;2;1;6;1;4;2;1;3;3;6;2;5;
510828;237;3;1;3;60.7871430682539;"12";1;2;3;6;2;;;6;1;4;2;2;;;;;;6
510851;237;1;1;1;63.5311728283349;"2";1;2;3;2;2;;;6;1;4;2;2;;;;;;11
510851;237;2;1;2;63.5311728283349;"1";1;2;3;1;1;2;1;2;1;5;1;1;3;3;3;2;3;
510891;237;3;1;3;63.9284587356849;"12";1;3;3;1;2;;;6;2;;2;2;;;;;;6
510897;237;1;1;1;56.6584832478147;"12";1;9;4;1;2;;;6;2;;2;2;;;;;;4
510966;237;1;1;1;96.3702895419586;"11";1;3;4;1;2;;;6;1;3;2;2;;;;;;6
510977;237;1;1;1;86.7127459853367;"10";1;7;4;1;2;;;6;1;4;2;2;;;;;;5
511021;237;3;1;3;289.322959529251;"5";1;1;3;1;2;;;6;1;2;2;2;;;;;;8
511021;237;2;1;2;289.322959529251;"7";1;6;4;1;1;1;2;2;1;2;2;1;1;1;4;2;1;
511071;237;1;1;1;71.9997342870076;"12";1;3;4;2;1;2;1;2;1;3;1;1;3;3;3;1;;
511139;237;1;1;1;349.812656880533;"12";1;2;4;1;2;;;2;1;3;1;1;1;1;4;1;;
511143;237;3;1;3;283.136993638153;"7";1;6;3;2;2;;;6;1;4;2;2;;;;;;6
511248;237;4;1;4;40.2650214355527;"12";1;9;1;6;1;2;2;6;1;2;2;2;;;;;;6
511248;237;5;1;5;40.2650214355527;"12";1;2;4;1;2;;;6;1;1;2;2;;;;;;5
511251;237;1;1;1;78.5556816331945;"12";1;7;2;3;1;2;2;6;2;;2;2;;;;;;3
511265;237;5;1;5;47.4914308549491;"5";1;6;3;1;1;1;2;6;2;;1;2;;;;;;6
511277;237;1;1;1;43.0374001255697;"12";1;7;3;1;2;;;6;1;3;2;2;;;;;;2
511285;237;1;1;1;41.8493963665184;"10";1;7;4;6;1;1;2;6;1;4;2;2;;;;;;4
511290;237;1;1;1;45.9222640810418;"8";1;7;2;1;2;;;6;2;;2;2;;;;;;6
511293;237;1;1;1;41.8493963665184;"7";1;7;3;1;2;;;6;2;;2;2;;;;;;3
511294;237;1;1;1;42.5558778062104;"1";1;2;3;1;2;;;2;1;3;2;1;1;1;4;1;;
511604;237;2;1;2;698.923664467798;"5";1;8;2;3;2;;;6;1;4;2;2;;;;;;3
511671;237;2;1;2;54.5803982385381;"11";1;1;3;1;2;;;6;1;4;2;2;;;;;;6
511733;237;2;1;2;70.4638587653343;"11";1;7;1;6;1;2;2;6;1;4;2;2;;;;;;2
512180;237;1;1;1;199.460925939168;"5";1;6;4;6;2;;;6;1;2;2;2;;;;;;6
512268;237;1;1;1;133.717108515593;"3";1;2;4;1;2;;;6;2;;2;1;1;1;4;2;2;
512318;237;3;1;3;128.581533563456;"6";1;7;4;2;1;1;2;6;1;4;2;1;1;1;2;2;2;
512479;237;1;1;1;1407.90214035842;"11";1;2;2;1;2;;;2;1;3;2;1;2;2;3;1;;
512485;237;2;1;2;544.981899948035;"9";1;2;3;1;1;1;1;2;1;3;1;1;3;3;2;1;;
512523;237;1;1;1;9.48286518973212;"10";1;2;3;5;1;2;2;1;1;4;2;2;;;;;;2
512740;237;2;1;2;1013.31624567603;"11";2;6;3;1;2;;;6;1;2;2;2;;;;;;6
512744;237;2;1;2;983.008273634651;"5";1;6;2;1;1;2;2;6;2;;2;2;;;;;;6
512744;237;4;1;4;983.008273634651;"5";1;6;2;1;1;2;2;6;2;;2;2;;;;;;6
512798;237;1;1;1;917.85433950167;"11";1;7;1;3;1;1;2;7;2;;2;2;;;;;;9
512834;237;1;1;1;979.451147926706;"12";1;7;4;2;1;1;1;2;2;;1;1;1;1;1;2;1;
512893;237;4;1;4;1564.75936990552;"4";1;1;2;1;1;2;2;2;1;4;1;1;1;1;2;1;;
512986;237;1;1;1;68.247255765681;"1";1;7;1;2;1;2;2;6;2;;2;2;;;;;;6
512989;237;2;1;2;76.3098043940879;"10";1;6;4;8;1;2;2;6;2;;2;2;;;;;;2
513012;237;3;1;3;58.8431505886961;"10";1;9;1;2;2;;;6;1;4;2;2;;;;;;3
513020;237;1;1;1;73.5749682782042;"2";1;4;2;1;2;;;2;1;4;2;1;3;3;3;1;;
513029;237;2;1;2;69.643536242904;"12";1;7;4;3;1;1;2;6;2;;2;2;;;;;;7
513041;237;3;1;3;62.9311936700227;"10";1;9;1;1;2;;;6;2;;2;2;;;;;;1
513049;237;3;1;3;84.7726398397621;"9";1;7;3;1;1;2;2;6;1;4;2;2;;;;;;2
513276;237;1;1;1;1054.21233444343;"11";1;2;3;1;2;;;2;1;5;1;1;1;3;2;1;;
513289;237;1;1;1;63.0516985683923;"6";1;2;3;8;2;;;2;1;3;1;1;3;3;3;1;;
513493;237;1;1;1;186.004330222286;"12";1;2;1;1;1;1;1;2;1;3;1;1;1;3;4;2;3;
513493;237;2;1;2;186.004330222286;"12";1;2;1;2;2;;;2;1;3;1;1;1;3;3;2;3;
513497;237;2;1;2;248.773699446682;"12";1;7;4;1;2;;;6;1;4;2;2;;;;;;4
513531;237;3;1;3;378.850783438944;"12";1;7;4;2;2;;;6;1;4;2;2;;;;;;3
513539;237;2;1;2;218.101022732918;"3";1;7;4;1;1;2;1;5;1;4;2;1;3;3;4;2;3;
513650;237;1;1;1;39.2778408165973;"10";1;2;4;1;1;2;2;1;2;;2;2;;;;;;6
513656;237;1;1;1;42.4769755330917;"8";1;7;4;1;1;1;1;2;1;3;1;1;3;3;3;1;;
513661;237;4;1;4;43.7378765556192;"4";1;1;2;1;2;;;6;1;2;2;2;;;;;;6
513728;237;2;1;2;686.928471856009;"12";1;8;3;1;1;1;2;2;2;;2;1;1;2;2;2;1;
513740;237;1;1;1;1002.72587796365;"7";1;9;4;1;2;;;6;1;2;2;2;;;;;;3
513760;237;2;1;2;498.663115371243;"9";1;6;2;6;2;;;6;1;1;2;2;;;;;;6
513783;237;1;1;1;368.353949278013;"12";2;7;4;6;2;;;6;1;4;2;2;;;;;;6
513783;237;2;1;2;368.353949278013;"2";2;1;3;1;2;;;6;1;2;2;2;;;;;;6
513833;237;5;1;5;1401.78312679711;"9";1;2;1;6;2;;;2;1;5;1;1;1;1;3;1;;
513848;237;1;1;1;1565.95096561142;"12";1;2;2;1;2;;;2;1;4;1;1;1;1;3;1;;
513878;237;2;1;2;60.8888094782083;"12";1;4;1;6;2;;;6;1;1;1;2;;;;;;5
513913;237;4;2;1;86.9219312676837;"6";1;7;2;1;1;2;2;6;1;4;2;2;;;;;;3
513916;237;1;1;1;58.1736925771925;"11";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
513928;237;2;1;2;61.3585451913161;"6";1;7;1;2;2;;;6;2;;2;2;;;;;;6
513981;237;3;1;3;60.8888094782083;"12";1;7;3;1;2;;;6;1;4;2;2;;;;;;6
513987;237;9;1;9;52.681140402191;"7";1;7;3;7;2;;;6;2;;2;2;;;;;;1
514194;237;7;1;7;45.2762160027316;"3";1;1;2;1;2;;;6;1;4;2;2;;;;;;3
514315;237;1;1;1;61.5228395238916;"10";1;2;2;2;2;;;6;2;;2;2;;;;;;3
514501;237;1;1;1;318.741447316608;"7";1;5;3;1;2;;;2;2;;1;2;;;;;;1
514591;237;1;1;1;34.6936926193177;"7";1;2;3;6;1;2;2;2;1;1;2;1;3;3;3;1;;
514638;237;5;1;5;853.578226901297;"12";2;9;4;1;1;1;2;1;1;4;2;2;;;;;;7
514681;237;15;1;15;1471.96608200377;"9";1;6;3;1;1;2;2;6;1;4;2;2;;;;;;6
514752;237;2;1;2;84.8778720316235;"7";1;4;4;3;1;2;2;6;1;4;2;2;;;;;;6
514875;237;3;1;3;113.658685356041;"3";1;2;2;1;2;;;6;1;3;2;2;;;;;;6
